Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
YQ79307,Washington,No,Basic,Bachelor,10/1/2011,Employed,M,51144,Urban,Married,61,28,32,1,9,Personal Auto,Personal L3,Offer1,Agent,223.305224,Two-Door Car,Medsize,4768.955924
CY49953,Oregon,No,Extended,College,2/18/11,Unemployed,F,0,Suburban,Single,79,30,25,0,1,Special Auto,Special L2,Offer3,Branch,568.8,Four-Door Car,Medsize,2827.55957
XN16891,Arizona,No,Basic,College,2/28/11,Employed,M,81097,Suburban,Divorced,74,7,67,0,1,Personal Auto,Personal L1,Offer4,Agent,355.2,Four-Door Car,Small,2912.892035
EP64069,California,No,Basic,Bachelor,8/1/2011,Employed,F,72264,Urban,Married,64,2,66,0,9,Corporate Auto,Corporate L3,Offer3,Web,272.649844,Four-Door Car,Medsize,5138.244998
IW77519,Washington,No,Basic,Bachelor,1/18/11,Employed,F,54737,Suburban,Single,66,3,86,0,1,Personal Auto,Personal L3,Offer3,Web,391.970334,Four-Door Car,Medsize,2610.369217
SI88726,California,No,Basic,College,1/19/11,Employed,F,38898,Suburban,Divorced,117,26,68,0,3,Corporate Auto,Corporate L2,Offer1,Agent,561.6,SUV,Small,9100.787395
NL59519,California,No,Extended,College,2/14/11,Employed,F,64642,Urban,Married,96,3,79,0,2,Personal Auto,Personal L2,Offer3,Branch,404.265696,Four-Door Car,Large,11565.68747
WW63253,California,No,Basic,Bachelor,1/20/11,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,529.881344,SUV,Medsize,7645.861827
WM64930,Oregon,No,Premium,College,8/2/2011,Medical Leave,M,12811,Suburban,Married,150,27,0,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,720.0,SUV,Medsize,5253.487908
KZ95954,Arizona,No,Extended,High School or Below,2/2/2011,Unemployed,M,0,Suburban,Single,80,13,57,1,4,Personal Auto,Personal L2,Offer3,Branch,749.134686,Four-Door Car,Medsize,5375.657146
CA70404,California,No,Extended,High School or Below,4/2/2011,Employed,M,62455,Urban,Married,77,27,85,1,5,Personal Auto,Personal L2,Offer2,Branch,338.144854,Two-Door Car,Small,6104.849081
